43,14,7,3,11,5,9,12,7,8,14,9,4,14,11,10,19,6,17,6,1
39,5,13,4,10,10,10,10,19,6,19,2,13,11,17,15,16,3,5,13,6
36,6,4,9,19,11,20,4,15,11,18,4,12,1,3,14,17,3,3,9,2
39,7,1,1,16,8,9,1,11,15,2,8,13,13,13,15,3,4,5,6,12
40,13,17,6,19,1,9,13,8,13,2,14,4,4,10,6,2,8,14,2,11
37,8,16,8,14,3,4,13,9,4,14,9,17,3,18,8,17,6,14,12,10
47,5,19,10,18,10,12,6,4,15,15,12,13,14,1,10,10,4,14,9,8
44,1,6,5,10,14,12,12,7,15,12,1,18,1,14,12,20,15,18,13,13
57,4,8,15,3,15,11,3,4,13,8,12,20,13,7,13,5,14,14,12,1
31,1,12,1,8,6,14,6,6,5,8,10,4,14,9,5,13,7,3,7,20
44,11,5,3,8,8,7,10,1,7,5,12,5,3,20,12,8,10,14,12,18
36,13,5,6,19,1,16,1,9,1,13,15,8,6,18,13,8,3,20,13,4
34,10,13,15,6,5,4,5,4,1,17,9,18,14,10,1,17,5,11,3,12
35,10,18,5,17,4,12,8,11,11,19,2,4,6,2,9,8,13,5,3,1
27,2,2,4,7,5,12,3,10,5,12,9,12,9,19,3,1,1,5,14,19
52,12,7,15,13,2,7,15,3,8,1,5,2,14,6,5,7,15,4,14,9
43,3,3,14,11,10,7,14,18,2,7,8,10,13,19,5,18,5,7,12,1
37,9,10,1,16,12,16,4,6,6,2,13,1,7,7,14,11,6,2,2,2
32,15,19,8,3,2,13,12,19,2,17,8,19,2,6,6,19,6,16,3,18
34,8,8,1,10,14,9,9,6,1,20,9,18,3,11,12,10,4,20,7,7
